From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
ABB57296.1	Q31NS3	unreviewed	Q31NS3_SYNE7	dITP/XTP pyrophosphatase (EC 3.6.1.66) (Non-canonical purine NTP pyrophosphatase) (Non-standard purine NTP pyrophosphatase) (Nucleoside-triphosphate diphosphatase) (Nucleoside-triphosphate pyrophosphatase) (NTPase)	Synpcc7942_1266	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	197
ABB57297.1	Q31NS2	unreviewed	Q31NS2_SYNE7	Uncharacterized protein	Synpcc7942_1267	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	259
ABB57298.1	Q31NS1	unreviewed	Q31NS1_SYNE7	Phosphoglucomutase (EC 5.4.2.2)	Synpcc7942_1268	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	484
ABB57299.1	Q31NS0	unreviewed	Q31NS0_SYNE7	Magnesium transporter MgtE	Synpcc7942_1269	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	465
ABB57300.1	Q31NR9	unreviewed	Q31NR9_SYNE7	High light inducible protein	Synpcc7942_1270	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	98
ABB57301.1	Q31NR8	unreviewed	Q31NR8_SYNE7	Glycosyl transferase family 8	Synpcc7942_1271	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	245
ABB57302.1	Q31NR7	unreviewed	Q31NR7_SYNE7	Polyketide cyclase	Synpcc7942_1272	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	175
ABB57303.1	Q31NR6	unreviewed	Q31NR6_SYNE7	Bifunctional NAD(P)H-hydrate repair enzyme (Nicotinamide nucleotide repair protein) [Includes: ADP-dependent (S)-NAD(P)H-hydrate dehydratase (EC 4.2.1.136) (ADP-dependent NAD(P)HX dehydratase); NAD(P)H-hydrate epimerase (EC 5.1.99.6)]	nnrE nnrD Synpcc7942_1273	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	511
ABB57304.1	Q31NR5	unreviewed	Q31NR5_SYNE7	TPR repeat	Synpcc7942_1274	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	175
ABB57305.1	Q31NR4	unreviewed	Q31NR4_SYNE7	DUF389 domain-containing protein	Synpcc7942_1275	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	387
ABB57306.1	Q31NR3	unreviewed	Q31NR3_SYNE7	Extracellular solute-binding protein, family 3	Synpcc7942_1276	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	260
ABB57307.1	Q31NR2	reviewed	RL20_SYNE7	Large ribosomal subunit protein bL20 (50S ribosomal protein L20)	rplT rpl20 Synpcc7942_1277	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	116
ABB57308.1	Q31NR1	reviewed	RL35_SYNE7	Large ribosomal subunit protein bL35 (50S ribosomal protein L35)	rpmI rpl35 Synpcc7942_1278	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	66
ABB57309.1	Q31NR0	unreviewed	Q31NR0_SYNE7	Uncharacterized protein	Synpcc7942_1279	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	83
ABB57310.1	Q31NQ9	unreviewed	Q31NQ9_SYNE7	FUSC family protein	Synpcc7942_1280	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	364
ABB57311.1	Q31NQ8	unreviewed	Q31NQ8_SYNE7	Uncharacterized protein	Synpcc7942_1281	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	230
ABB57312.1	Q56211	reviewed	MOAA_SYNE7	GTP 3',8-cyclase (EC 4.1.99.22) (Molybdenum cofactor biosynthesis protein A)	moaA Synpcc7942_1282	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	327
ABB57313.1	Q56210	reviewed	MOAE_SYNE7	Molybdopterin synthase catalytic subunit (EC 2.8.1.12) (MPT synthase subunit 2) (Molybdenum cofactor biosynthesis protein E) (Molybdopterin-converting factor large subunit) (Molybdopterin-converting factor subunit 2)	moaE Synpcc7942_1283	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	165
ABB57314.1	Q56209	reviewed	MOAD_SYNE7	Molybdopterin synthase sulfur carrier subunit (MPT synthase subunit 1) (Molybdenum cofactor biosynthesis protein D) (Molybdopterin-converting factor small subunit) (Molybdopterin-converting factor subunit 1) (Sulfur carrier protein MoaD)	moaD Synpcc7942_1284	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	90
ABB57315.1	Q56208	reviewed	MOACB_SYNE7	Molybdenum cofactor biosynthesis bifunctional protein [Includes: Cyclic pyranopterin monophosphate synthase (EC 4.6.1.17) (Molybdenum cofactor biosynthesis protein C); Molybdenum cofactor biosynthesis protein B]	moaCB Synpcc7942_1285	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	319
ABB57316.1	Q56207	reviewed	MOEA_SYNE7	Molybdopterin molybdenumtransferase (MPT Mo-transferase) (EC 2.10.1.1)	moeA Synpcc7942_1286	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	403
ABB57317.1	Q31NQ2	unreviewed	Q31NQ2_SYNE7	VCBS	Synpcc7942_1287	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	610
ABB57318.1	Q31NQ1	unreviewed	Q31NQ1_SYNE7	DUF4240 domain-containing protein	Synpcc7942_1288	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	168
ABB57319.1	Q31NQ0	unreviewed	Q31NQ0_SYNE7	Modulator of DNA gyrase	Synpcc7942_1289	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	446
ABB57320.1	P30331	reviewed	MT_SYNE7	Metallothionein (MT)	smtA Synpcc7942_1290	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	56
ABB57321.1	P30340	reviewed	SMTB_SYNE7	Transcriptional repressor SmtB	smtB Synpcc7942_1291	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	122
ABB57322.1	P74893	reviewed	DNAG_SYNE7	DNA primase (EC 2.7.7.101)	dnaG Synpcc7942_1292	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	694
ABB57323.1	P74764	reviewed	SYFB_SYNE7	Phenylalanine--tRNA ligase beta subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase beta subunit) (PheRS)	pheT Synpcc7942_1293	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	810
ABB57324.1	Q31NP5	unreviewed	Q31NP5_SYNE7	Serine/threonine-protein kinase B (EC 2.7.11.1)	Synpcc7942_1294	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	522
ABB57325.1	Q31NP4	unreviewed	Q31NP4_SYNE7	Phospholipid/glycerol acyltransferase	Synpcc7942_1295	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	462
ABB57326.1	Q31NP3	unreviewed	Q31NP3_SYNE7	Fe2OG dioxygenase domain-containing protein	Synpcc7942_1296	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	231
ABB57327.1	Q31NP2	unreviewed	Q31NP2_SYNE7	Malate dehydrogenase (Oxaloacetate decarboxylating) (EC 1.1.1.38)	Synpcc7942_1297	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	469
ABB57328.1	Q31NP1	unreviewed	Q31NP1_SYNE7	Diguanylate cyclase (GGDEF domain)	Synpcc7942_1298	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	576
ABB57329.1	Q31NP0	unreviewed	Q31NP0_SYNE7	DUF362 domain-containing protein	Synpcc7942_1299	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	320
ABB57330.1	Q31NN9	unreviewed	Q31NN9_SYNE7	5-formyltetrahydrofolate cyclo-ligase (EC 6.3.3.2)	Synpcc7942_1300	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	189
ABB57331.1	Q31NN8	unreviewed	Q31NN8_SYNE7	ATP-dependent DNA helicase RecQ (EC 3.6.1.-)	Synpcc7942_1301	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	487
ABB57332.1	Q31NN7	unreviewed	Q31NN7_SYNE7	Universal stress protein	Synpcc7942_1302	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	158
ABB57333.1	Q31NN6	unreviewed	Q31NN6_SYNE7	Uncharacterized protein	Synpcc7942_1303	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	132
ABB57334.1	Q31NN5	unreviewed	Q31NN5_SYNE7	Uncharacterized protein	Synpcc7942_1304	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	190
ABB57335.1	Q31NN4	unreviewed	Q31NN4_SYNE7	ATPase	Synpcc7942_1305	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	536
ABB57336.1	Q31NN3	unreviewed	Q31NN3_SYNE7	DUF3172 domain-containing protein	Synpcc7942_1306	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	186
ABB57337.1	Q31NN2	unreviewed	Q31NN2_SYNE7	Transport permease protein	Synpcc7942_1307	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	271
ABB57338.1	Q31NN1	unreviewed	Q31NN1_SYNE7	Tryptophan--tRNA ligase (EC 6.1.1.2) (Tryptophanyl-tRNA synthetase) (TrpRS)	trpS Synpcc7942_1308	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	355
ABB57339.1	Q9F1R3	unreviewed	Q9F1R3_SYNE7	Methylenetetrahydrofolate reductase	Synpcc7942_1309	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	310
ABB57340.1	Q9F1R2	reviewed	CMPR_SYNE7	HTH-type transcriptional activator CmpR	cmpR Synpcc7942_1310	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	323
ABB57341.1	Q31NM8	unreviewed	Q31NM8_SYNE7	Transposase Synechocystis PCC 6803 domain-containing protein	Synpcc7942_1311	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	118
ABB57342.1	Q31NM7	unreviewed	Q31NM7_SYNE7	ATPase	Synpcc7942_1312	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	600
ABB57343.1	Q31NM6	reviewed	SYDND_SYNE7	Aspartate--tRNA(Asp/Asn) ligase (EC 6.1.1.23) (Aspartyl-tRNA synthetase) (AspRS) (Non-discriminating aspartyl-tRNA synthetase) (ND-AspRS)	aspS Synpcc7942_1313	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	599
ABB57344.1	Q31NM5	unreviewed	Q31NM5_SYNE7	ATP-dependent zinc metalloprotease FtsH (EC 3.4.24.-)	ftsH Synpcc7942_1314	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	623
ABB57345.1	Q31NM4	reviewed	TRMFO_SYNE7	Methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase TrmFO (EC 2.1.1.74) (Folate-dependent tRNA (uracil-5-)-methyltransferase) (Folate-dependent tRNA(M-5-U54)-methyltransferase)	trmFO gid Synpcc7942_1315	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	466
ABB57346.1	Q31NM3	unreviewed	Q31NM3_SYNE7	Mn transporter MntC	Synpcc7942_1316	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	345
ABB57347.1	Q31NM2	unreviewed	Q31NM2_SYNE7	ATPase	Synpcc7942_1317	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	245
ABB57348.1	Q31NM1	unreviewed	Q31NM1_SYNE7	Manganese transport system membrane protein MntB	Synpcc7942_1318	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	283
ABB57349.1	Q31NM0	unreviewed	Q31NM0_SYNE7	Bifunctional protein PyrR [Includes: Pyrimidine operon regulatory protein; Uracil phosphoribosyltransferase (UPRTase) (EC 2.4.2.9)]	pyrR Synpcc7942_1319	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	179
ABB57350.1	Q31NL9	unreviewed	Q31NL9_SYNE7	CHAD domain-containing protein	Synpcc7942_1320	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	318
ABB57351.1	Q31NL8	unreviewed	Q31NL8_SYNE7	Uncharacterized protein	Synpcc7942_1321	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	339
ABB57352.1	Q31NL7	reviewed	PSAE_SYNE7	Photosystem I reaction center subunit IV	psaE Synpcc7942_1322	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	75
ABB57353.1	Q31NL6	unreviewed	Q31NL6_SYNE7	Formamidopyrimidine-DNA glycosylase (Fapy-DNA glycosylase) (EC 3.2.2.23) (DNA-(apurinic or apyrimidinic site) lyase MutM) (AP lyase MutM) (EC 4.2.99.18)	mutM fpg Synpcc7942_1323	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	282
ABB57354.1	Q31NL5	unreviewed	Q31NL5_SYNE7	DEAD/DEAH box helicase-like	Synpcc7942_1324	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	919
ABB57355.1	Q31NL4	unreviewed	Q31NL4_SYNE7	Replicative DNA helicase (EC 3.6.4.12)	Synpcc7942_1325	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	454
ABB57356.1	Q31NL3	unreviewed	Q31NL3_SYNE7	Transcription-repair-coupling factor (TRCF) (EC 3.6.4.-)	mfd Synpcc7942_1326	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	1153
ABB57357.1	Q31NL2	unreviewed	Q31NL2_SYNE7	Uncharacterized protein	Synpcc7942_1327	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	97
ABB57358.1	Q31NL1	unreviewed	Q31NL1_SYNE7	Sll0939 protein	Synpcc7942_1328	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	130
ABB57359.1	Q31NL0	unreviewed	Q31NL0_SYNE7	TPM domain-containing protein	Synpcc7942_1329	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	208
ABB57360.1	Q31NK9	unreviewed	Q31NK9_SYNE7	Methyltransferase type 11 domain-containing protein	Synpcc7942_1330	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	218
ABB57361.1	Q31NK8	unreviewed	Q31NK8_SYNE7	CAB/ELIP/HLIP superfamily protein	Synpcc7942_1331	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	58
ABB57362.1	Q31NK7	unreviewed	Q31NK7_SYNE7	7-carboxy-7-deazaguanine synthase (CDG synthase) (EC 4.3.99.3) (Queuosine biosynthesis protein QueE)	queE Synpcc7942_1332	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	206
ABB57363.1	Q31NK6	reviewed	QUEC_SYNE7	7-cyano-7-deazaguanine synthase (EC 6.3.4.20) (7-cyano-7-carbaguanine synthase) (PreQ(0) synthase) (Queuosine biosynthesis protein QueC)	queC Synpcc7942_1333	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	231
ABB57364.1	Q31NK5	unreviewed	Q31NK5_SYNE7	aminodeoxychorismate synthase (EC 2.6.1.85)	Synpcc7942_1334	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	465
ABB57365.1	Q31NK4	unreviewed	Q31NK4_SYNE7	Probable branched-chain amino acid aminotransferase	Synpcc7942_1335	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	264
ABB57366.1	Q31NK3	unreviewed	Q31NK3_SYNE7	Conserved hypothetical protein CHP03032 domain-containing protein	Synpcc7942_1336	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	360
ABB57367.1	Q31NK2	unreviewed	Q31NK2_SYNE7	Integrins alpha chain	Synpcc7942_1337	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	1434
ABB57368.1	Q31NK1	unreviewed	Q31NK1_SYNE7	DUF3747 domain-containing protein	Synpcc7942_1338	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	260
ABB57369.1	Q31NK0	unreviewed	Q31NK0_SYNE7	Uncharacterized protein	Synpcc7942_1339	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	64
ABB57370.1	Q31NJ9	unreviewed	Q31NJ9_SYNE7	Peptide deformylase (PDF) (EC 3.5.1.88) (Polypeptide deformylase)	def Synpcc7942_1340	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	192
ABB57371.1	Q31NJ8	unreviewed	Q31NJ8_SYNE7	Permease	Synpcc7942_1341	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	361
ABB57372.1	Q31NJ7	unreviewed	Q31NJ7_SYNE7	GDP-mannose 4,6-dehydratase (EC 4.2.1.47) (GDP-D-mannose dehydratase)	gmd Synpcc7942_1342	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	363
ABB57373.1	Q31NJ6	reviewed	NU1C_SYNE7	NAD(P)H-quinone oxidoreductase subunit 1 (EC 7.1.1.-) (NAD(P)H dehydrogenase I subunit 1) (NDH-1 subunit 1) (NDH-A)	ndhA Synpcc7942_1343	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	372
ABB57374.1	Q31NJ5	reviewed	NDHI_SYNE7	NAD(P)H-quinone oxidoreductase subunit I (EC 7.1.1.-) (NAD(P)H dehydrogenase I subunit I) (NDH-1 subunit I) (NDH-I)	ndhI Synpcc7942_1344	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	202
ABB57375.1	Q31NJ4	unreviewed	Q31NJ4_SYNE7	NADH-quinone oxidoreductase subunit J (EC 7.1.1.-)	Synpcc7942_1345	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	201
ABB57376.1	Q31NJ3	unreviewed	Q31NJ3_SYNE7	NAD(P)H-quinone oxidoreductase subunit 4L (EC 7.1.1.-) (NAD(P)H dehydrogenase subunit 4L) (NADH-plastoquinone oxidoreductase subunit 4L) (NDH-1, subunit 4L) (NDH-E)	ndhE Synpcc7942_1346	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	103
ABB57377.1	Q31NJ2	unreviewed	Q31NJ2_SYNE7	2-hydroxyacid dehydrogenase-like	Synpcc7942_1347	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	331
ABB57378.1	Q31NJ1	unreviewed	Q31NJ1_SYNE7	Uncharacterized protein	Synpcc7942_1348	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	99
ABB57379.1	Q31NJ0	unreviewed	Q31NJ0_SYNE7	Esterase	Synpcc7942_1349	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	228
ABB57380.1	Q31NI9	unreviewed	Q31NI9_SYNE7	Uncharacterized protein	Synpcc7942_1350	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	101
ABB57381.1	Q31NI8	unreviewed	Q31NI8_SYNE7	HAD-superfamily hydrolase subfamily IA, variant 3	Synpcc7942_1351	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	236
ABB57382.1	Q31NI7	unreviewed	Q31NI7_SYNE7	Acetyl-coenzyme A synthetase (AcCoA synthetase) (Acs) (EC 6.2.1.1) (Acetate--CoA ligase) (Acyl-activating enzyme)	acsA Synpcc7942_1352	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	656
ABB57383.1	Q31NI6	unreviewed	Q31NI6_SYNE7	DUF3120 domain-containing protein	Synpcc7942_1353	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	222
ABB57384.1	Q31NI5	unreviewed	Q31NI5_SYNE7	Export protein	Synpcc7942_1354	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	498
ABB57385.1	Q31NI4	unreviewed	Q31NI4_SYNE7	histidine kinase (EC 2.7.13.3)	Synpcc7942_1355	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	929
ABB57386.1	Q31NI3	unreviewed	Q31NI3_SYNE7	Response regulator receiver domain protein (CheY-like)	Synpcc7942_1356	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	151
ABB57387.1	Q31NI2	unreviewed	Q31NI2_SYNE7	histidine kinase (EC 2.7.13.3)	Synpcc7942_1357	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	1807
ABB57388.1	Q31NI1	unreviewed	Q31NI1_SYNE7	SWIM-type domain-containing protein	Synpcc7942_1358	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	263
ABB57389.1	Q31NI0	unreviewed	Q31NI0_SYNE7	Coenzyme F420 hydrogenase	Synpcc7942_1359	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	401
ABB57390.1	Q31NH9	unreviewed	Q31NH9_SYNE7	Cell envelope-related transcriptional attenuator	Synpcc7942_1360	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	436
ABB57391.1	Q31NH8	unreviewed	Q31NH8_SYNE7	Pentapeptide repeat	Synpcc7942_1361	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	167
ABB57392.1	Q31NH7	unreviewed	Q31NH7_SYNE7	Uncharacterized protein	Synpcc7942_1362	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	161
ABB57393.1	Q31NH6	unreviewed	Q31NH6_SYNE7	Uncharacterized protein	Synpcc7942_1363	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	95
ABB57394.1	Q31NH5	unreviewed	Q31NH5_SYNE7	Uncharacterized protein	Synpcc7942_1364	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	138
ABB57395.1	Q31NH4	unreviewed	Q31NH4_SYNE7	UPF0056 inner membrane protein	Synpcc7942_1365	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	232
ABB57396.1	Q31NH3	unreviewed	Q31NH3_SYNE7	2-carboxy-1,4-naphthoquinone phytyltransferase (EC 2.5.1.130) (1,4-dihydroxy-2-naphthoate phytyltransferase) (DHNA phytyltransferase)	menA Synpcc7942_1366	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	303
ABB57397.1	Q31NH2	unreviewed	Q31NH2_SYNE7	Cytochrome P450	Synpcc7942_1367	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	455
ABB57398.1	Q31NH1	unreviewed	Q31NH1_SYNE7	SH3b domain-containing protein	Synpcc7942_1368	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	111
ABB57399.1	Q31NH0	reviewed	RECR_SYNE7	Recombination protein RecR	recR Synpcc7942_1369	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	199
ABB57400.1	Q31NG9	unreviewed	Q31NG9_SYNE7	Uncharacterized protein	Synpcc7942_1370	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	79
ABB57401.1	Q31NG8	unreviewed	Q31NG8_SYNE7	Magnesium transport protein CorA	corA Synpcc7942_1371	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	387
ABB57402.1	Q31NG7	unreviewed	Q31NG7_SYNE7	Methionine synthase (EC 2.1.1.13) (5-methyltetrahydrofolate--homocysteine methyltransferase)	Synpcc7942_1372	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	1190
ABB57403.1	Q31NG6	unreviewed	Q31NG6_SYNE7	Hydrogenase accessory protein	Synpcc7942_1373	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	231
ABB57404.1	Q31NG5	unreviewed	Q31NG5_SYNE7	Ribosomal large subunit pseudouridine synthase D	Synpcc7942_1374	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	543
