Experiment,Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash,R1,R2,Swift,publication,biosample_strain,biosample_genotype,project,condition,reference_condition,post_induction_time,strain_description,base_media,carbon_source,carbon_ml/min,nitrogen_source,inducer_agent,aerobicity,inoculation,supplement,temperature,entrainment,post_entrainment_condition,growth_phase,OD_wavelength,OD,fluorescent light,light_flux_umol/m2/s,skip,passed_fastqc,passed_reads_mapped_to_CDS,passed_global_correlation
SRX3176803,SRR6026342,2017-12-15 12:47:05,2017-09-11 13:18:31,7920633,396031650,0,50,219,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/026/SRR6026342.sralite.1,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP117265,PRJNA404081,2,404081,SRS2506498,SAMN07629669,simple,1140,Synechococcus elongatus PCC 7942 = FACHB-805,GSM2779460,,,,,,,no,,,,,GEO,SRA607160,,public,C199C4A4FAA2BB32CF9F462DD5E1D3A3,7A031140BD628D0D6AD564882F0CBF56,,,,https://www.cell.com/cell-reports/comments/S2211-1247(17)31719-9,PCC 7942,wild type replicate 2,ppGpp,0wt_dark_120,0wt_dawn_000,2h,wild type replicate 2,BG-11,,,,theophylline,aerobic,,,30 C,two cycles dark/light/dark,constant light; harvested at dawn and dusk,,750,0.015,cool,40,,True,True,True
SRX3176804,SRR6026343,2017-12-15 12:47:05,2017-09-11 13:18:45,11945294,597264700,0,50,330,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/026/SRR6026343.sralite.1,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP117265,PRJNA404081,2,404081,SRS2506499,SAMN07629668,simple,1140,Synechococcus elongatus PCC 7942 = FACHB-805,GSM2779461,,,,,,,no,,,,,GEO,SRA607160,,public,0775C42E0E4D6897078AC8ADF5428158,4F974736B7E132BDDD0310FCC366D888,,,,https://www.cell.com/cell-reports/comments/S2211-1247(17)31719-9,PCC 7942,wild type replicate 2,ppGpp,0wt_dark_240,0wt_dawn_000,4h,wild type replicate 2,BG-11,,,,theophylline,aerobic,,,30 C,two cycles dark/light/dark,constant light; harvested at dawn and dusk,,750,0.015,cool,40,,True,True,True
SRX3176805,SRR6026344,2017-12-15 12:47:05,2017-09-11 13:18:34,10630626,531531300,0,50,291,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/026/SRR6026344.sralite.1,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP117265,PRJNA404081,2,404081,SRS2506500,SAMN07629667,simple,1140,Synechococcus elongatus PCC 7942 = FACHB-805,GSM2779462,,,,,,,no,,,,,GEO,SRA607160,,public,1DD3D241868A1FF03D0AB64150B31AB1,D2F108FE0242344B55B9141AA8310460,,,,https://www.cell.com/cell-reports/comments/S2211-1247(17)31719-9,PCC 7942,wild type replicate 2,ppGpp,0wt_dark_480,0wt_dawn_000,8h,wild type replicate 2,BG-11,,,,theophylline,aerobic,,,30 C,two cycles dark/light/dark,constant light; harvested at dawn and dusk,,750,0.015,cool,40,,True,True,True
SRX3176806,SRR6026345,2017-12-15 12:47:05,2017-09-11 13:18:16,7894546,394727300,0,50,218,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/026/SRR6026345.sralite.1,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP117265,PRJNA404081,2,404081,SRS2506501,SAMN07629666,simple,1140,Synechococcus elongatus PCC 7942 = FACHB-805,GSM2779463,,,,,,,no,,,,,GEO,SRA607160,,public,C16447A722FB48F7698C94D1FF89BE57,50F5DD8F151D275A0DF6E629CE454982,,,,https://www.cell.com/cell-reports/comments/S2211-1247(17)31719-9,PCC 7942,wild type replicate 2,ppGpp,0wt_dark_720,0wt_dawn_000,12h,wild type replicate 2,BG-11,,,,theophylline,aerobic,,,30 C,two cycles dark/light/dark,constant light; harvested at dawn and dusk,,750,0.015,cool,40,,True,True,True
SRX3176807,SRR6026346,2017-12-15 12:47:05,2017-09-11 13:19:00,10435731,521786550,0,50,332,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/026/SRR6026346.sralite.1,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP117265,PRJNA404081,2,404081,SRS2506502,SAMN07629665,simple,1140,Synechococcus elongatus PCC 7942 = FACHB-805,GSM2779464,,,,,,,no,,,,,GEO,SRA607160,,public,1117E493D44E2369A63995B4F8D30442,F365CE15AEE78E1A08B38F5031123C2B,,,,https://www.cell.com/cell-reports/comments/S2211-1247(17)31719-9,PCC 7942,rel- replicate 2,ppGpp,1rel_dusk_000,0wt_dawn_000,0m,rel- replicate 2,BG-11,,,,theophylline,aerobic,,,30 C,two cycles dark/light/dark,constant light; harvested at dawn and dusk,,750,0.015,cool,40,,True,True,True
SRX3176808,SRR6026347,2017-12-15 12:47:05,2017-09-11 13:18:58,12815102,640755100,0,50,408,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/026/SRR6026347.sralite.1,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP117265,PRJNA404081,2,404081,SRS2506503,SAMN07629664,simple,1140,Synechococcus elongatus PCC 7942 = FACHB-805,GSM2779465,,,,,,,no,,,,,GEO,SRA607160,,public,D095D9211CE1A9A206092B5B993A16F3,79B9B632B112A1472350D4191750B9C7,,,,https://www.cell.com/cell-reports/comments/S2211-1247(17)31719-9,PCC 7942,rel- replicate 2,ppGpp,1rel_dark_005,0wt_dawn_000,5m,rel- replicate 2,BG-11,,,,theophylline,aerobic,,,30 C,two cycles dark/light/dark,constant light; harvested at dawn and dusk,,750,0.015,cool,40,,True,True,True
SRX3176809,SRR6026348,2017-12-15 12:47:05,2017-09-11 13:19:03,11416675,570833750,0,50,362,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/026/SRR6026348.sralite.1,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP117265,PRJNA404081,2,404081,SRS2506504,SAMN07629663,simple,1140,Synechococcus elongatus PCC 7942 = FACHB-805,GSM2779466,,,,,,,no,,,,,GEO,SRA607160,,public,33DA4D376DE4A28A88B3CEB65E90C7BF,AE70A398DB61EC275F44D9D7B24F2EE4,,,,https://www.cell.com/cell-reports/comments/S2211-1247(17)31719-9,PCC 7942,rel- replicate 2,ppGpp,1rel_dark_015,0wt_dawn_000,15m,rel- replicate 2,BG-11,,,,theophylline,aerobic,,,30 C,two cycles dark/light/dark,constant light; harvested at dawn and dusk,,750,0.015,cool,40,,True,True,True
SRX3176810,SRR6026349,2017-12-15 12:47:05,2017-09-11 13:20:10,21721649,1086082450,0,50,688,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/026/SRR6026349.sralite.1,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP117265,PRJNA404081,2,404081,SRS2506505,SAMN07629662,simple,1140,Synechococcus elongatus PCC 7942 = FACHB-805,GSM2779467,,,,,,,no,,,,,GEO,SRA607160,,public,4F64AECB17799B2228401EB2FA8CE346,584FD29AB28AA2D6784E9963E82AEE30,,,,https://www.cell.com/cell-reports/comments/S2211-1247(17)31719-9,PCC 7942,rel- replicate 2,ppGpp,1rel_dark_030,0wt_dawn_000,30m,rel- replicate 2,BG-11,,,,theophylline,aerobic,,,30 C,two cycles dark/light/dark,constant light; harvested at dawn and dusk,,750,0.015,cool,40,,True,True,True
SRX3176811,SRR6026350,2017-12-15 12:47:05,2017-09-11 13:18:59,14015397,700769850,0,50,445,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/026/SRR6026350.sralite.1,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP117265,PRJNA404081,2,404081,SRS2506506,SAMN07629661,simple,1140,Synechococcus elongatus PCC 7942 = FACHB-805,GSM2779468,,,,,,,no,,,,,GEO,SRA607160,,public,8F243FAC3D9D90559012DE8C76899A1F,FA7654D78F4FB34D508BAC9C7BE6DB2B,,,,https://www.cell.com/cell-reports/comments/S2211-1247(17)31719-9,PCC 7942,,,,0wt_dawn_000,,,BG-11,,,,theophylline,aerobic,,,30 C,two cycles dark/light/dark,constant light; harvested at dawn and dusk,,750,0.015,cool,40,,True,True,True
SRX3176812,SRR6026351,2017-12-15 12:47:05,2017-09-11 13:20:20,23072779,1153638950,0,50,729,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/026/SRR6026351.sralite.1,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP117265,PRJNA404081,2,404081,SRS2506507,SAMN07629660,simple,1140,Synechococcus elongatus PCC 7942 = FACHB-805,GSM2779469,,,,,,,no,,,,,GEO,SRA607160,,public,25EB6A256FC8D9534311E2CD3DA9E517,6044442245A2D9DC753DFD1EE8BA6A9E,,,,https://www.cell.com/cell-reports/comments/S2211-1247(17)31719-9,PCC 7942,,,,0wt_dawn_000,,,BG-11,,,,theophylline,aerobic,,,30 C,two cycles dark/light/dark,constant light; harvested at dawn and dusk,,750,0.015,cool,40,,True,True,True
SRX3176813,SRR6026352,2017-12-15 12:47:05,2017-09-11 13:19:03,12664906,633245300,0,50,401,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/026/SRR6026352.sralite.1,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP117265,PRJNA404081,2,404081,SRS2506508,SAMN07629659,simple,1140,Synechococcus elongatus PCC 7942 = FACHB-805,GSM2779470,,,,,,,no,,,,,GEO,SRA607160,,public,188F912C065BF56AC6FF62C9EDDE7F7A,6A8EF8ACB1CAF8C778F65E87946BE329,,,,https://www.cell.com/cell-reports/comments/S2211-1247(17)31719-9,PCC 7942,,,,0wt_dawn_000,,,BG-11,,,,theophylline,aerobic,,,30 C,two cycles dark/light/dark,constant light; harvested at dawn and dusk,,750,0.015,cool,40,,True,True,True
SRX3176814,SRR6026353,2017-12-15 12:47:05,2017-09-11 13:18:58,12438694,621934700,0,50,392,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/026/SRR6026353.sralite.1,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP117265,PRJNA404081,2,404081,SRS2506509,SAMN07629658,simple,1140,Synechococcus elongatus PCC 7942 = FACHB-805,GSM2779471,,,,,,,no,,,,,GEO,SRA607160,,public,91CF93770B2BBEEFF526FB34AAC6A8DA,9311115D48FC62B7948D95D72EE315F1,,,,https://www.cell.com/cell-reports/comments/S2211-1247(17)31719-9,PCC 7942,,,,0wt_dawn_000,,,BG-11,,,,theophylline,aerobic,,,30 C,two cycles dark/light/dark,constant light; harvested at dawn and dusk,,750,0.015,cool,40,,True,True,True
SRX3176815,SRR6026354,2017-12-15 12:47:05,2017-09-11 13:19:43,13774421,688721050,0,50,429,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/026/SRR6026354.sralite.1,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP117265,PRJNA404081,2,404081,SRS2506510,SAMN07629657,simple,1140,Synechococcus elongatus PCC 7942 = FACHB-805,GSM2779472,,,,,,,no,,,,,GEO,SRA607160,,public,BDE6D79B4AAA497A28047154CB799FC6,5F7F166F9B4931777384DCBFB0DBA8EA,,,,https://www.cell.com/cell-reports/comments/S2211-1247(17)31719-9,PCC 7942,,,,0wt_dawn_000,,,BG-11,,,,theophylline,aerobic,,,30 C,two cycles dark/light/dark,constant light; harvested at dawn and dusk,,750,0.015,cool,40,,True,True,True
SRX3211301,SRR6069416,2017-12-18 09:18:10,2017-09-25 11:59:00,7891202,394560100,0,50,199,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/069/SRR6069416.sralite.1,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP118803,PRJNA412032,2,412032,SRS2536063,SAMN07693174,simple,1140,Synechococcus elongatus PCC 7942 = FACHB-805,GSM2792426,,,,,,,no,,,,,GEO,SRA612636,,public,0104F66AC0FBBE0933EB79B99F55A8EF,2DBA65C686424665DA51285D0EA19C55,,,,29239721,,,light,HP_dawn_0900h,CD_dawn_0.5h,"9h since dawn, time 60 min",wild type,BG-11,,,,,,,,,,,,,,,,,True,True,True
SRX3211302,SRR6069417,2017-12-18 09:18:10,2017-09-25 11:58:55,8382685,419134250,0,50,203,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/069/SRR6069417.sralite.1,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP118803,PRJNA412032,2,412032,SRS2536065,SAMN07693173,simple,1140,Synechococcus elongatus PCC 7942 = FACHB-805,GSM2792427,,,,,,,no,,,,,GEO,SRA612636,,public,9F892F60B288D9AAC8020615338D8719,8C2611BC35E81DB86B63F792888D3B5B,,,,29239721,,,light,HP_dawn_0925h,CD_dawn_0.5h,"9.25h since dawn, Time 15 min return",wild type,BG-11,,,,,,,,,,,,,,,,,True,True,True
SRX3211303,SRR6069418,2017-12-18 09:18:10,2017-09-25 11:58:52,7991539,399576950,0,50,203,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/069/SRR6069418.sralite.1,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP118803,PRJNA412032,2,412032,SRS2536064,SAMN07693172,simple,1140,Synechococcus elongatus PCC 7942 = FACHB-805,GSM2792428,,,,,,,no,,,,,GEO,SRA612636,,public,C9C15D3DAEDCFDBDCC7D2B22EB512226,E50819B5809B035B99142CCE62E19B80,,,,29239721,,,light,HP_dawn_0925h,CD_dawn_0.5h,"9.25h since dawn, Time 15 min return",wild type,BG-11,,,,,,,,,,,,,,,,,True,True,True
SRX3211304,SRR6069377,2017-12-18 09:18:10,2017-09-25 11:58:20,8905157,445257850,0,50,216,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/069/SRR6069377.sralite.1,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP118803,PRJNA412032,2,412032,SRS2536066,SAMN07693163,simple,1140,Synechococcus elongatus PCC 7942 = FACHB-805,GSM2792387,,,,,,,no,,,,,GEO,SRA612636,,public,B8D8AE1E196D4EA4B53DEEABD38D5C47,F59E9881AD8D3EE58ED16856DF4A67A2,,,,29239721,,,light,LL_dawn_0.5h,CD_dawn_0.5h,0.5h since dawn,wild type,BG-11,,,,,,,,,,,,,,,,,True,True,True
SRX3211305,SRR6069378,2017-12-18 09:18:10,2017-09-25 11:58:44,10596450,529822500,0,50,268,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/069/SRR6069378.sralite.1,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP118803,PRJNA412032,2,412032,SRS2536068,SAMN07693162,simple,1140,Synechococcus elongatus PCC 7942 = FACHB-805,GSM2792388,,,,,,,no,,,,,GEO,SRA612636,,public,CDBE28BB44E93B5D8E41DF8827B7E389,9936D53AB285F440F2EAAC8F9D0FA058,,,,29239721,,,light,LL_dawn_0.5h,CD_dawn_0.5h,0.5h since dawn,wild type,BG-11,,,,,,,,,,,,,,,,,True,True,True
SRX3211306,SRR6069379,2017-12-18 09:18:10,2017-09-25 11:58:13,7706914,385345700,0,50,187,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/069/SRR6069379.sralite.1,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP118803,PRJNA412032,2,412032,SRS2536067,SAMN07693161,simple,1140,Synechococcus elongatus PCC 7942 = FACHB-805,GSM2792389,,,,,,,no,,,,,GEO,SRA612636,,public,0E6F0BB5D1EFB27A63650EA27843CE26,E69DE1DA86C5FF7C5A302B3D0F3A211C,,,,29239721,,,light,LL_dawn_02h,CD_dawn_0.5h,2h since dawn,wild type,BG-11,,,,,,,,,,,,,,,,,True,True,True
SRX3211307,SRR6069380,2017-12-18 09:18:10,2017-09-25 11:58:25,10511432,525571600,0,50,266,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/069/SRR6069380.sralite.1,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP118803,PRJNA412032,2,412032,SRS2536069,SAMN07693160,simple,1140,Synechococcus elongatus PCC 7942 = FACHB-805,GSM2792390,,,,,,,no,,,,,GEO,SRA612636,,public,A8185C5222DFFB076E8011791F010C54,2C1D8D2BA94A83FD06F067377DED6761,,,,29239721,,,light,LL_dawn_02h,CD_dawn_0.5h,2h since dawn,wild type,BG-11,,,,,,,,,,,,,,,,,True,True,True
SRX3211308,SRR6069381,2017-12-18 09:18:10,2017-09-25 11:58:18,9069077,453453850,0,50,225,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/069/SRR6069381.sralite.1,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP118803,PRJNA412032,2,412032,SRS2536071,SAMN07693159,simple,1140,Synechococcus elongatus PCC 7942 = FACHB-805,GSM2792391,,,,,,,no,,,,,GEO,SRA612636,,public,382779BD059DE3241D9C7F3FABB4B560,0B46740979A4749513DBE96C7FE56FC6,,,,29239721,,,light,LL_dawn_04h,CD_dawn_0.5h,4h since dawn,wild type,BG-11,,,,,,,,,,,,,,,,,True,True,True
SRX3211309,SRR6069382,2017-12-18 09:18:10,2017-09-25 11:58:17,9122823,456141150,0,50,236,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/069/SRR6069382.sralite.1,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP118803,PRJNA412032,2,412032,SRS2536070,SAMN07693158,simple,1140,Synechococcus elongatus PCC 7942 = FACHB-805,GSM2792392,,,,,,,no,,,,,GEO,SRA612636,,public,99B93122746F7E496F6BCBBE733B51F5,863603D884304963D1F529DB7DDCEEFD,,,,29239721,,,light,LL_dawn_04h,CD_dawn_0.5h,4h since dawn,wild type,BG-11,,,,,,,,,,,,,,,,,True,True,True
SRX3211310,SRR6069383,2017-12-18 09:18:10,2017-09-25 11:58:11,7489968,374498400,0,50,182,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/069/SRR6069383.sralite.1,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP118803,PRJNA412032,2,412032,SRS2536072,SAMN07693157,simple,1140,Synechococcus elongatus PCC 7942 = FACHB-805,GSM2792393,,,,,,,no,,,,,GEO,SRA612636,,public,271BF219CA67FA31409C8FB1BE5A032D,AA3B3496D3A8449F55035965D9B012AB,,,,29239721,,,light,LL_dawn_06h,CD_dawn_0.5h,6h since dawn,wild type,BG-11,,,,,,,,,,,,,,,,,True,True,True
SRX3211311,SRR6069384,2017-12-18 09:18:10,2017-09-25 11:58:28,9903726,495186300,0,50,251,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/069/SRR6069384.sralite.1,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP118803,PRJNA412032,2,412032,SRS2536073,SAMN07693156,simple,1140,Synechococcus elongatus PCC 7942 = FACHB-805,GSM2792394,,,,,,,no,,,,,GEO,SRA612636,,public,40ECD2354AAF2480028910C5CA3AFEC6,3C1B362B017F0E0E2500CF84F642CA11,,,,29239721,,,light,LL_dawn_06h,CD_dawn_0.5h,6h since dawn,wild type,BG-11,,,,,,,,,,,,,,,,,True,True,True
SRX3211312,SRR6069385,2017-12-18 09:18:10,2017-09-25 11:58:12,7615297,380764850,0,50,185,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/069/SRR6069385.sralite.1,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP118803,PRJNA412032,2,412032,SRS2536074,SAMN07693215,simple,1140,Synechococcus elongatus PCC 7942 = FACHB-805,GSM2792395,,,,,,,no,,,,,GEO,SRA612636,,public,CA0A33F76FC7283F1AD95D8DC7C28979,B56EE87D5E058AE35484C5017780BAF5,,,,29239721,,,light,LL_dawn_08h,CD_dawn_0.5h,8h since dawn,wild type,BG-11,,,,,,,,,,,,,,,,,True,True,True
SRX3211313,SRR6069386,2017-12-18 09:18:10,2017-09-25 11:58:22,9427609,471380450,0,50,238,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/069/SRR6069386.sralite.1,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP118803,PRJNA412032,2,412032,SRS2536075,SAMN07693214,simple,1140,Synechococcus elongatus PCC 7942 = FACHB-805,GSM2792396,,,,,,,no,,,,,GEO,SRA612636,,public,36A698C27D52E62FAFFA66C9095C5CF4,E0F2476AF319DD98DC8C7161423BBF91,,,,29239721,,,light,LL_dawn_08h,CD_dawn_0.5h,8h since dawn,wild type,BG-11,,,,,,,,,,,,,,,,,True,True,True
SRX3211314,SRR6069387,2017-12-18 09:18:10,2017-09-25 11:58:33,9463052,473152600,0,50,230,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/069/SRR6069387.sralite.1,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP118803,PRJNA412032,2,412032,SRS2536076,SAMN07693213,simple,1140,Synechococcus elongatus PCC 7942 = FACHB-805,GSM2792397,,,,,,,no,,,,,GEO,SRA612636,,public,FBF60E52BCC4EC3BA391F2A27226A42B,15E631252B82AA030B84FFD48EFAB502,,,,29239721,,,light,LL_dawn_09h,CD_dawn_0.5h,9h since dawn,wild type,BG-11,,,,,,,,,,,,,,,,,True,True,True
SRX3211315,SRR6069388,2017-12-18 09:18:10,2017-09-25 11:58:44,11501570,575078500,0,50,292,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/069/SRR6069388.sralite.1,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP118803,PRJNA412032,2,412032,SRS2536078,SAMN07693212,simple,1140,Synechococcus elongatus PCC 7942 = FACHB-805,GSM2792398,,,,,,,no,,,,,GEO,SRA612636,,public,7C247B7F418468FD3E0A330C38F6B5F6,01A3AE1ABC7B9EB5C139488F4EDEE029,,,,29239721,,,light,LL_dawn_09h,CD_dawn_0.5h,9h since dawn,wild type,BG-11,,,,,,,,,,,,,,,,,True,True,True
SRX3211316,SRR6069389,2017-12-18 09:18:10,2017-09-25 11:58:37,10916343,545817150,0,50,266,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/069/SRR6069389.sralite.1,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP118803,PRJNA412032,2,412032,SRS2536077,SAMN07693211,simple,1140,Synechococcus elongatus PCC 7942 = FACHB-805,GSM2792399,,,,,,,no,,,,,GEO,SRA612636,,public,4F1EEF28A73EF2A9D84485B4A91885CE,E690479944D5C309618F817935CDFDBF,,,,29239721,,,light,LL_dawn_10h,CD_dawn_0.5h,10h since dawn,wild type,BG-11,,,,,,,,,,,,,,,,,True,True,True
SRX3211317,SRR6069390,2017-12-18 09:18:10,2017-09-25 11:59:12,12836949,641847450,0,50,325,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/069/SRR6069390.sralite.1,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP118803,PRJNA412032,2,412032,SRS2536079,SAMN07693210,simple,1140,Synechococcus elongatus PCC 7942 = FACHB-805,GSM2792400,,,,,,,no,,,,,GEO,SRA612636,,public,C15C880548F563CA86D4A0FB6201D116,5898C41121D63B2E5356F222EA6970AF,,,,29239721,,,light,LL_dawn_10h,CD_dawn_0.5h,10h since dawn,wild type,BG-11,,,,,,,,,,,,,,,,,True,True,True
SRX3211318,SRR6069391,2017-12-18 09:18:10,2017-09-25 11:58:43,10003585,500179250,0,50,242,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/069/SRR6069391.sralite.1,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP118803,PRJNA412032,2,412032,SRS2536080,SAMN07693209,simple,1140,Synechococcus elongatus PCC 7942 = FACHB-805,GSM2792401,,,,,,,no,,,,,GEO,SRA612636,,public,B1FAFCF5FDB8F1B6AD800DC69D7C97A8,4A2E2E08BA25EAF179BD404B61481CA3,,,,29239721,,,light,LL_dawn_12h,CD_dawn_0.5h,12h since dawn,wild type,BG-11,,,,,,,,,,,,,,,,,True,True,True
